,code,statusobjectcode,codegerelateerdobject,objectbegintijd,objecteindtijd,hyperlink,soortafsluitmiddelcode,soortregelbaarheidcode,breedte,hoogte,minimalehoogtebovenkant,maximalehoogtebovenkant,afvoercoefficient
0,AKN00702,,KDU00848,,,,4,999,999,999,999,999,1
1,AKN00589,,999,,,,5,999,999,999,999,999,1
